Week,Start Date,End Date,Phase,Main Objective,Tasks,Deliverable,Dependency,Status,Progress (%),Risk Level,Priority,Owner,Done (Y/N),Notes
"Week 1","2026-04-01","2026-04-07","Phase 0 - Scope & Design","Chot MVP va kien truc ky thuat","Chot danh sach module MVP; chot role Admin/NOC/Captain/Customer; chot DB schema v1; chot MQTT contract v1; chot boundary Next.js/API/Worker","MVP scope v1; schema v1; MQTT contract v1; role matrix v1; API surface v1","None","Done","100","Low","Critical","Me","Y","Completed 2026-03-31; artifacts locked for implementation and stakeholder review"
"Week 2","2026-04-08","2026-04-14","Phase 1 - Infra & Project Setup","Dung nen he thong va khung source","Setup workspace; docker compose local PostgreSQL+MQTT; env template; API/Worker package setup","Project skeleton + local infra baseline","Week 1","Done","100","Medium","Critical","Me","Y","Completed baseline implementation; dependencies installed and runtime verified"
"Week 3","2026-04-15","2026-04-21","Phase 1 - Infra & Project Setup","Hoan thien migration va auth/logging co ban","Tao db migrate/reset scripts; API health+ready; worker ingest raw+heartbeat+telemetry baseline; smoke test script","DB migrate tooling; API readiness; worker ingest baseline","Week 2","Done","100","Medium","Critical","Me","Y","Completed phase1 baseline; ready for Git push and Ubuntu deployment"
"Week 4","2026-04-22","2026-04-28","Phase 2 - MCU Ingest","Dung worker MQTT va ingest heartbeat","Tao worker process rieng; subscribe topic heartbeat; validate payload; save DB; log raw message","Heartbeat ingest hoat dong","Week 3","Not Started","0","High","Critical","Me","N","Lam som bo test payload mau"
"Week 5","2026-04-29","2026-05-05","Phase 2 - MCU Ingest","Mo rong ingest telemetry","Subscribe telemetry; parser; luu metric link status, latency, loss, jitter","Telemetry vao DB dung schema","Week 4","Not Started","0","High","Critical","Me","N","Co the phai sua payload contract voi MCU"
"Week 6","2026-05-06","2026-05-12","Phase 2 - MCU Ingest","Them event ingest va hardening worker","Xu ly event; retry/reconnect; idempotency basic; raw audit","Ingest pipeline on dinh hon","Week 5","Not Started","0","High","Critical","Me","N","Can co bo test duplicate va reconnect"
"Week 7","2026-05-13","2026-05-19","Phase 3 - Package & Usage","Lam package CRUD va quota rule","Tao package CRUD; assign package cho user/nhom; quota model","Package module v1","Week 6","Not Started","0","Medium","Critical","Me","N","Uu tien data model ro rang truoc khi lam UI"
"Week 8","2026-05-20","2026-05-26","Phase 3 - Package & Usage","Tinh usage theo user","Build pipeline usage per user; aggregate usage; luu lich su session/usage","User usage v1","Week 7","Not Started","0","High","Critical","Me","N","Day la logic nghiep vu can test ky"
"Week 9","2026-05-27","2026-06-02","Phase 3 - Package & Usage","Quota exhaustion va canh bao co ban","Tinh so du quota; canh bao gan het quota; block rule co ban neu can","Quota tracking v1","Week 8","Not Started","0","High","Critical","Me","N","Neu thieu thoi gian, block tu dong co the de phase sau"
"Week 10","2026-06-03","2026-06-09","Phase 3 - Package & Usage","On dinh API va nghiep vu package/usage","Refine API; fix edge cases; test du lieu usage; bo sung audit","Package + usage san sang cho portal","Week 9","Not Started","0","Medium","Critical","Me","N","Dong phase khi so lieu usage da dang tin"
"Week 11","2026-06-10","2026-06-16","Phase 4 - Captain Portal & VMS","Lam captain portal toi thieu","Man hinh login; dashboard crew; user online; quota con lai; usage summary","Captain portal v1","Week 10","Not Started","0","Medium","High","Me","N","Khong can lam UI dep, chi can ro rang va dung"
"Week 12","2026-06-17","2026-06-23","Phase 4 - Captain Portal & VMS","Them VMS co ban","Luu vi tri, toc do, huong di chuyen, updated_at; view VMS basic","VMS basic tracking","Week 11","Not Started","0","Medium","High","Me","N","Chi can map/list co ban cho pilot"
"Week 13","2026-06-24","2026-06-30","Phase 4 - Captain Portal & VMS","Hoan thien pilot UI cho captain","Sua UI; them filter tau/user; kiem tra scope du lieu theo vessel","Captain portal + VMS basic san sang","Week 12","Not Started","0","Medium","High","Me","N","Dong phase khi captain xem dung du lieu tau minh"
"Week 14","2026-07-01","2026-07-07","Phase 5 - Command Flow & RBAC","Dung command job va ACK","Model command_jobs; publish command MQTT; nhan ACK/result; audit log","Command flow v1","Week 13","Not Started","0","High","High","Me","N","Nen bat dau tu lenh de test nhu sync package"
"Week 15","2026-07-08","2026-07-14","Phase 5 - Command Flow & RBAC","Hoan thien RBAC","Phan quyen Admin/NOC/Captain/Customer; gioi han tenant/site/vessel scope","RBAC v1","Week 14","Not Started","0","Medium","High","Me","N","Can test truy cap cheo tenant/site"
"Week 16","2026-07-15","2026-07-21","Phase 5 - Command Flow & RBAC","On dinh luong dieu khien va audit","Refine timeout/retry; bo sung history command; fix bug","Command + RBAC on dinh hon","Week 15","Not Started","0","Medium","High","Me","N","Neu tre co the day mot so lenh nang cao sang backlog"
"Week 17","2026-07-22","2026-07-28","Phase 6 - Staging & Pilot","Kiem thu he thong va staging","Test duplicate/reconnect; test quota exhaustion; test VMS delay; deploy staging","Staging v1","Week 16","Not Started","0","High","Critical","Me","N","Ghi bug theo muc do anh huong van hanh"
"Week 18","2026-07-29","2026-08-04","Phase 6 - Staging & Pilot","Pilot nho va runbook","Pilot 1-2 site; theo doi log; viet runbook; backup/restore checklist","Pilot run + runbook","Week 17","Not Started","0","High","Critical","Me","N","Khong mo rong neu pilot chua on dinh"
"Week 19","2026-08-05","2026-08-11","Phase 6 - Staging & Pilot","Chot pilot va san sang go-live than trong","Fix bug cuoi; rollback plan; capacity note; go-live checklist","Ready for cautious go-live","Week 18","Not Started","0","Medium","Critical","Me","N","Neu pilot gap loi nghiem trong, gia han phase nay 1-2 tuan"
